功能,依赖链摘要,原始数据,语义识别,运行时绑定,主工程接入,原作对照,完成度口径,备注
移动-走路,动画+OpenKCC 位移+状态图,有,有,已绑定,已接入（原始状态图驱动）,部分（未含 walk→fly）,可用,Idle/Walk/Run 族已接
闪避,动画+状态+输入,有,有,已绑定,已接入,部分,可用,Evade 链验证帧数见 implementation
冲刺链,Dash_Start/Loop/Evade/Loop_02/End+冲刺攻击+预载 35 状态,有,有,已绑定,"已接入（1,140 帧验证）",部分,可用,含提前打断验证
四段普攻,动画×4+武器拖尾/发光/显隐,有,有,已绑定,已接入（465 帧验证）,部分,可用,第四段同时触发左右效果
特殊技-普通,E 键+能量规则+动画+特效,有,有,已绑定,已接入（含长按/打断/行走中释放）,部分（闪光颜色 GAP-006）,可用,能量规则按原版
特殊技-强化,强化第 14 帧扣费+充能规则,有,有,已绑定,已接入,部分,可用,充能规则为用户指定简化
命中链,34 事件+查询+停帧+震动+粒子,有,有,已绑定,已接入（多帧数验证）,部分,可用,受击方逻辑为简化（GAP-015）
普通特殊技特效,主/附属特效+挂点+材质,49 事件已恢复,部分（8/31 项已识别接入）,已绑定（8 项）,8/31 已接入（命名清单见 VFX_Index）,部分,双口径：成组验收未过+库存 8/31,剩余 23 项见 GAP-007
冲刺镜头,曲线库+事件+参数,有（366 条）,有,已绑定,已接入,部分,可用,65°/半径 3/高度跟随
命中震动,33 组配置+Impulse,有,有,已绑定,已接入,部分,可用,独立时钟不受时间缩放影响
walk→fly,两套 walk 动画+过渡条件,待取证（库内有 Idle_AirState_* 空中动画线索）,有（Walk/RunLoop 族身份已锚定）,有（2.0s 阈值 RUNTIME_RECONSTRUCTED）,已绑定（原生状态机复用）,已接入（31/31 审计+PlayMode 主链+回归绿）,主链/退出/打断/回归全过（2026-09-10）,悬浮表现 vs 三维飞行待区分
特殊技运镜,曲线选择+目标绑定+空间+退出规则,部分（曲线库有）,未,未,未接入,无,GAP-009,强化技运镜同
音频,采集+归纳+接入,无,无,无,未启动,无,GAP-011,领域空白
