事件/效果,所属动作,帧窗/时机,挂点/空间,材质/纹理,生命周期规则,接入状态,证据
普通特殊技双侧闪光,普通特殊技,第 8 帧（10 次闪光全部正常结束或随打断回收）,待登记,12 粒子系统/4 材质/4 纹理,30/60/120Hz 生命周期验证,已接入,implementation/skill-fx-sources
普通特殊技双侧爆发,普通特殊技,待登记,待登记,源 Alpha 指数已核对回写,随打断回收,已接入（爆发白片已修复）,skill-burst-sources
普通特殊技烟雾,普通特殊技,待登记,待登记,待登记,验证通过,已接入,skill-smoke-sources
普通特殊技拖尾,普通特殊技,待登记,待登记,4 个拖尾材质源指数已回写,验证通过,已接入（仍为 8/31 效果）,skill-trail-sources
命中粒子-效果A,逐目标命中事件,开始偏移+节点结束时间,待登记,12 张纹理/8 材质,忽略角色停帧的独立时钟；24 实例预热无临时创建,已接入,hit-particle-runtime-stage
命中粒子-效果B,逐目标命中事件,同上,待登记,同上,同上,已接入,同上
武器拖尾,普攻（左/右/B 组）,Common_24 端点+帧窗,武器挂点,复用 MIT 开源带状网格组件,30/60/120Hz+GPU 开关对照,已接入,trail-stage
武器材质发光,普攻进入/退出,129 条配置记录,武器,第二层发光,30/60/120Hz+属性恢复,已接入,weapon-material-stage
武器渐隐/描边,武器退出,原始渐隐/描边曲线,武器,独立 shader,退出后保持隐藏；中性对照零像素差,已接入,weapon-surface-stage
剩余 23 项粒子效果,各动作,待逐项,待逐项,待逐项,待逐项,未接入（GAP-007）,49 条特殊技特效事件已恢复；逐项映射为 B1-v2 产出
